time_wall,time_perf,arrival_perf,rel_time,can_id,dlc,data
1778594556.112162,1867119.803870,1867119.803126,24.616554,0x1DC,7,02 05 09 00 00 00 0E
1778594556.112189,1867119.803897,1867119.803128,24.616581,0x1ED,3,01 FF 0D
1778594556.112216,1867119.803924,1867119.803129,24.616609,0x1AB,3,00 17 19
1778594556.112284,1867119.803992,1867119.803131,24.616677,0x91,8,9A F3 88 7E 08 00 00 39
1778594556.112329,1867119.804037,1867119.803132,24.616721,0x1A4,8,00 66 00 00 00 00 00 1C
1778594556.112389,1867119.804097,1867119.803134,24.616781,0x1B0,7,80 1F 00 00 00 01 12
1778594556.112441,1867119.804149,1867119.803135,24.616833,0x1D0,8,0A 08 10 54 26 48 3D 19
1778594556.112489,1867119.804197,1867119.803137,24.616881,0x1FB,1,0D
1778594556.112516,1867119.804224,1867119.803138,24.616908,0x1EA,8,00 00 00 F2 00 00 00 1D
1778594556.112564,1867119.804272,1867119.803140,24.616956,0x1AC,8,7F FF 00 00 00 00 00 1C
1778594556.112592,1867119.804300,1867119.803142,24.616984,0x255,8,0C 0A 0C 09 55 55 EC 3F
1778594556.112698,1867119.804406,1867119.803151,24.617091,0x1A6,8,00 00 40 13 BB 01 00 08
1778594556.112792,1867119.804500,1867119.803164,24.617185,0x320,8,00 00 00 00 00 00 00 12
1778594556.112820,1867119.804528,1867119.803165,24.617212,0x324,8,7E 71 42 73 00 FF 80 1B
1778594556.112882,1867119.804590,1867119.803167,24.617274,0x328,8,00 00 00 00 00 80 00 4F
1778594556.112972,1867119.804680,1867119.803181,24.617364,0x39,3,00 00 2A
1778594556.113047,1867119.804755,1867119.803190,24.617439,0x221,4,21 00 00 3D
1778594556.113074,1867119.804782,1867119.803191,24.617466,0x294,8,00 16 01 00 2A 44 00 3A
1778594556.113100,1867119.804808,1867119.803192,24.617492,0x295,4,00 00 00 35
1778594556.113307,1867119.805016,1867119.803230,24.617700,0x309,8,00 00 00 00 04 D9 00 7B
1778594556.113375,1867119.805084,1867119.803231,24.617768,0x372,2,20 37
1778594556.113402,1867119.805110,1867119.803233,24.617794,0x374,7,55 00 00 00 00 00 3D
1778594556.113464,1867119.805172,1867119.803234,24.617856,0x37B,8,30 00 00 20 00 00 00 3B
